Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,Array_11,Array_12,Array_13,Array_14,Array_15,Array_16,Array_17,Array_18,Array_19,Array_20,Array_21,Array_22,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,OuterLoop_6,OuterLoop_7,OuterLoop_8,OuterLoop_9,OuterLoop_10,OuterLoop_11,OuterLoop_12,OuterLoop_13,OuterLoop_14,OuterLoop_15,OuterLoop_16,OuterLoop_17,OuterLoop_18,OuterLoop_19,OuterLoop_20,OuterLoop_21,OuterLoop_22,OuterLoop_23,OuterLoop_24,OuterLoop_25,OuterLoop_26,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_1_6,InnerLoop_1_7,InnerLoop_1_8,InnerLoop_1_9,InnerLoop_1_10,InnerLoop_1_11,InnerLoop_1_12,InnerLoop_1_13,InnerLoop_1_14,InnerLoop_1_15,InnerLoop_1_16,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_2_4,InnerLoop_2_5,InnerLoop_2_6,InnerLoop_2_7,InnerLoop_3_1,InnerLoop_3_2,InnerLoop_3_3,InnerLoop_3_4,InnerLoop_3_5,InnerLoop_4_1,InnerLoop_4_2
workload_4988.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,cyclic_128_1,cyclic_16_1,block_4_1,block_32_1,cyclic_32_1,cyclic_8_1,cyclic_8_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_8,pipeline_1,unroll_16,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll,pipeline,unroll_64,unroll_8,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,pipeline,unroll_16,unroll_4,unroll_4,unroll_4,unroll_16,pipeline_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_4989.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,cyclic_64_1,cyclic_64_1,cyclic_64_1,block_32_1,block_64_1,block_4_1,block_8_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,unroll,pipeline_1,unroll,pipeline_1,unroll_2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll,pipeline,unroll_2,unroll_8,unroll_2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_4,pipeline_1,unroll_16,unroll_16,unroll_2,unroll_4,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_4990.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,cyclic_128_1,block_4_1,block_4_1,cyclic_8_1,block_8_1,block_2_1,cyclic_8_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_4,unroll_2,unroll_2,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,unroll,pipeline_1,unroll_4,unroll_64,unroll_32,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll,unroll_2,unroll_4,pipeline_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_4991.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,block_128_1,cyclic_2_1,block_64_1,block_32_1,block_128_1,cyclic_4_1,cyclic_8_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_64,unroll,unroll_16,unroll_4,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,unroll_4,pipeline,unroll_4,unroll_16,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,unroll,pipeline_1,pipeline,pipeline_1,unroll_8,unroll_16,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_4992.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,block_16_1,block_64_1,block_2_1,block_4_1,block_4_1,cyclic_8_1,cyclic_2_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_4,unroll,unroll_4,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_4,unroll,pipeline_1,unroll_32,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_16,unroll_4,unroll_4,unroll_4,unroll_8,unroll_4,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_4993.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,block_64_1,cyclic_16_1,block_32_1,block_32_1,cyclic_32_1,cyclic_8_1,cyclic_8_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,unroll,unroll_8,pipeline_1,unroll_16,unroll_2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,unroll,unroll,pipeline,unroll_64,unroll_8,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,unroll_16,unroll_16,unroll_4,unroll_8,unroll_4,unroll_16,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_4994.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,cyclic_2_1,cyclic_128_1,cyclic_64_1,cyclic_64_1,cyclic_128_1,cyclic_8_1,block_4_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,pipeline,unroll_2,unroll_16,unroll_2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,pipeline,unroll_2,pipeline,unroll_32,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,pipeline,unroll_2,unroll,unroll_8,unroll_16,unroll_4,pipeline_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_4995.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,block_16_1,cyclic_128_1,cyclic_8_1,block_32_1,block_32_1,block_8_1,block_4_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,unroll,unroll_4,unroll_2,pipeline_1,unroll_2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,pipeline,unroll_2,pipeline,unroll_32,pipeline_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,pipeline_1,pipeline,unroll_2,unroll_2,pipeline,pipeline_1,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_4996.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,block_16_1,block_32_1,block_32_1,cyclic_128_1,cyclic_4_1,cyclic_8_1,block_8_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,unroll,unroll_64,unroll,unroll_8,unroll_2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,unroll_4,pipeline,unroll_4,pipeline_1,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,unroll,pipeline,unroll_16,pipeline,pipeline,pipeline,unroll_16,pipeline_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_4997.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,block_8_1,block_4_1,block_32_1,block_128_1,cyclic_4_1,complete_1,block_2_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,unroll_16,unroll_4,unroll,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,unroll,unroll,pipeline_1,pipeline_1,unroll_64,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,unroll,unroll_4,unroll_4,unroll_2,unroll_16,unroll_16,unroll_16,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_4998.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,cyclic_32_1,cyclic_8_1,block_64_1,block_128_1,cyclic_4_1,complete_1,block_2_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,unroll_16,unroll,pipeline,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,pipeline,pipeline_1,unroll_16,unroll_64,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,unroll_8,pipeline,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_4999.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,cyclic_64_1,block_4_1,cyclic_128_1,block_64_1,block_2_1,block_2_1,cyclic_2_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,unroll_16,pipeline_1,unroll_8,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll,unroll_2,unroll_16,unroll_64,unroll_2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_4,unroll_2,unroll_16,unroll_8,pipeline,pipeline,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_5000.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,cyclic_32_1,cyclic_2_1,cyclic_8_1,block_128_1,block_4_1,complete_1,block_2_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,unroll_32,unroll_4,unroll_16,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,pipeline,pipeline_1,pipeline,unroll_64,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,unroll_8,pipeline,unroll_8,pipeline_1,pipeline_1,pipeline_1,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_5001.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,block_4_1,block_32_1,cyclic_2_1,cyclic_16_1,cyclic_4_1,cyclic_4_1,cyclic_2_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,unroll_4,unroll_16,pipeline_1,unroll_2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,unroll,unroll_4,unroll_2,unroll_2,pipeline_1,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_8,pipeline,pipeline,unroll_2,unroll_4,unroll_4,pipeline_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_5002.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,block_16_1,block_128_1,block_32_1,cyclic_16_1,cyclic_128_1,complete_1,block_2_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,unroll,unroll_2,unroll_16,unroll_8,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,pipeline,pipeline_1,pipeline_1,unroll_4,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll,unroll_4,unroll_2,unroll_4,unroll_16,pipeline,pipeline_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_5003.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,cyclic_64_1,block_2_1,cyclic_128_1,block_64_1,cyclic_4_1,cyclic_8_1,cyclic_2_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,unroll_16,pipeline_1,unroll_8,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll,unroll_2,unroll_4,pipeline_1,unroll_2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_4,unroll_2,unroll_16,pipeline,pipeline,pipeline,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_5004.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,cyclic_64_1,cyclic_2_1,cyclic_4_1,block_32_1,block_128_1,cyclic_4_1,cyclic_8_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_64,pipeline_1,unroll_16,unroll_4,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,unroll_4,pipeline,unroll_16,unroll_16,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,unroll,pipeline_1,unroll,pipeline_1,pipeline,unroll_16,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_5005.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,cyclic_8_1,cyclic_2_1,cyclic_64_1,cyclic_4_1,cyclic_16_1,block_2_1,cyclic_2_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,unroll,unroll_4,unroll_8,unroll_4,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,pipeline,pipeline_1,unroll_4,unroll_64,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_2,unroll_4,unroll_2,unroll,pipeline_1,unroll_16,pipeline_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_5006.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,block_128_1,block_128_1,cyclic_4_1,block_32_1,cyclic_128_1,cyclic_4_1,cyclic_2_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,pipeline,pipeline_1,pipeline_1,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,unroll,unroll_2,pipeline,unroll,unroll_8,unroll_16,unroll_16,pipeline_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_5007.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,cyclic_64_1,cyclic_2_1,cyclic_4_1,block_4_1,cyclic_2_1,cyclic_8_1,cyclic_2_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_4,unroll,pipeline_1,unroll_2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_4,pipeline,unroll_2,pipeline_1,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,unroll,pipeline,unroll_16,unroll,unroll_8,pipeline_1,unroll_2,pipeline_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_5008.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,block_128_1,cyclic_16_1,cyclic_128_1,block_32_1,cyclic_4_1,complete_1,cyclic_2_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,pipeline,pipeline_1,unroll_8,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,unroll,pipeline,unroll_4,unroll_16,unroll_2,pipeline_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,unroll,unroll_2,pipeline_1,pipeline,unroll_8,pipeline_1,unroll_16,pipeline_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_5009.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,block_64_1,cyclic_2_1,cyclic_4_1,block_2_1,cyclic_4_1,complete_1,complete_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_16,unroll_16,unroll_4,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,pipeline_1,unroll_4,pipeline_1,unroll_16,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_8,unroll_4,unroll,pipeline_1,unroll_2,unroll_8,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_5010.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,block_64_1,block_32_1,cyclic_64_1,cyclic_2_1,cyclic_4_1,cyclic_2_1,cyclic_4_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,unroll_16,unroll,pipeline_1,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,unroll,unroll,pipeline_1,unroll_2,pipeline,pipeline_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,unroll,pipeline,unroll_2,unroll,pipeline_1,unroll_16,unroll_4,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_5011.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,cyclic_128_1,block_64_1,block_2_1,block_4_1,block_8_1,block_2_1,cyclic_8_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_4,unroll_2,unroll_2,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,pipeline_1,unroll,unroll_64,unroll_32,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,unroll_16,pipeline_1,unroll_16,unroll_4,unroll_8,unroll_4,pipeline_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_5012.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,block_8_1,cyclic_128_1,block_32_1,cyclic_8_1,block_8_1,cyclic_8_1,cyclic_8_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,unroll,pipeline_1,pipeline_1,pipeline_1,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,unroll,unroll,unroll,unroll_8,unroll_8,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_4,unroll_16,unroll_16,unroll_2,unroll_4,unroll_4,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_5013.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,block_4_1,cyclic_16_1,block_4_1,cyclic_128_1,cyclic_128_1,complete_1,cyclic_8_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_8,unroll_8,pipeline,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,unroll,unroll_2,pipeline_1,pipeline_1,unroll_8,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_2,pipeline,unroll_4,unroll_4,pipeline_1,pipeline_1,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_5014.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,block_128_1,cyclic_64_1,cyclic_64_1,block_32_1,block_64_1,block_4_1,block_8_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,pipeline_1,unroll,pipeline_1,unroll_2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_4,pipeline,unroll_8,unroll_8,unroll_2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_2,pipeline_1,unroll_16,unroll_16,unroll_2,unroll_4,pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
workload_5015.cpp,xcu200-fsgd2104-2-e,3.33,0,1800,101,101,101,101,cyclic_32_1,block_4_1,block_128_1,block_16_1,block_128_1,block_8_1,cyclic_4_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline_1,pipeline_1,unroll_2,pipeline,unroll_4,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,unroll,unroll_2,unroll_4,pipeline_1,unroll_64,pipeline_1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,pipeline,unroll_8,pipeline,unroll_16,unroll,unroll_16,unroll_8,unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR
